关卡ID,关卡名称,随机元素种类（至少3色）,消除目标,关卡步数,3星要求,金币奖励,棋盘形状64位掩码,首次通关道具奖励
177,177,cake03|cake02|cake05|cake08|cake01|cake06,cake05-17|cake06-16|cake03-16,28,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
178,178,cake08|cake03|cake01,cake03-41,4,2050|2050|6150,140|140|410,0111111000111100000110000001100000011000000110000011110001111110,none
179,179,cake01|cake05|cake02,cake05-49,4,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
180,180,cake08|cake06|cake01,cake06-50,4,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
181,181,cake03|cake07|cake01,cake07-50,4,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
182,182,cake05|cake08|cake01,cake08-50,4,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
183,183,cake06|cake02|cake01,cake06-50,4,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
184,184,cake05|cake02|cake01,cake02-50,4,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
185,185,cake05|cake02|cake01,cake02-50,4,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
186,186,cake01|cake07|cake02,cake07-50,4,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
187,187,cake05|cake08|cake02,cake02-29,6,1450|1450|4350,100|100|290,1100001111000011110000111111111111111111110000111100001111000011,none
188,188,cake01|cake07|cake06,cake01-50,6,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
189,189,cake03|cake06|cake04,cake03-25|cake06-24,6,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
190,190,cake03|cake04|cake02,cake04-25|cake03-24,6,2450|2450|7350,165|165|490,0111111011111111111111111111111111111111111111111111111101111110,none
191,191,cake08|cake02|cake06,cake08-24|cake02-25,6,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
192,192,cake04|cake03|cake06,cake03-24|cake06-25,6,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
193,193,cake01|cake08|cake06|cake07|cake03,cake07-15|cake06-17|cake08-16,27,2400|2400|7200,160|160|480,0011110001111110111111111110011111100111111111110111111000111100,none
194,194,cake04|cake08|cake06|cake01|cake05,cake05-16|cake08-16|cake06-16,27,2400|2400|7200,160|160|480,0111111000111100000110000001100000011000000110000011110001111110,none
195,195,cake01|cake03|cake05|cake06|cake07|cake02|cake08,cake06-50,28,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
196,196,cake02|cake05|cake07|cake01|cake06|cake08,cake06-50,28,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
197,197,cake08|cake06|cake01|cake02|cake04|cake05,cake04-50,28,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
198,198,cake08|cake05|cake04|cake06,cake06-50,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
199,199,cake06|cake02|cake03|cake08,cake06-25|cake08-24,28,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
200,200,cake01|cake04|cake03|cake02,cake02-25|cake04-24,28,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
201,201,cake04|cake08|cake05|cake03|cake02|cake06|cake01,cake03-17|cake06-17|cake05-15,28,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
202,202,cake01|cake04|cake02|cake07,cake04-16|cake07-17|cake02-16,28,2450|2450|7350,165|165|490,0111111000111100000110000001100000011000000110000011110001111110,none
203,203,cake08|cake01|cake02,cake08-32,4,1600|1600|4800,110|110|320,1100001111000011110000111111111111111111110000111100001111000011,none
204,204,cake02|cake04|cake01,cake04-50,4,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
205,205,cake06|cake07|cake01,cake06-50,4,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
206,206,cake01|cake05|cake02,cake05-50,4,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
207,207,cake01|cake04|cake07,cake01-50,6,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
208,208,cake02|cake07|cake08,cake08-50,6,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
209,209,cake01|cake02|cake04,cake02-25|cake01-24,6,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
210,210,cake08|cake07|cake06|cake04|cake02,cake07-44,25,2200|2200|6600,150|150|440,0111111000111100000110000001100000011000000110000011110001111110,none
211,211,cake01|cake08|cake04|cake06|cake02|cake03|cake07,cake08-15|cake03-17|cake07-16,27,2400|2400|7200,160|160|480,1100001111000011110000111111111111111111110000111100001111000011,none
212,212,cake05|cake01|cake02|cake03|cake07,cake02-16|cake03-16|cake07-16,27,2400|2400|7200,160|160|480,1111100011111100011111100011111100011111000011110000011100000011,none
213,213,cake04|cake02|cake08|cake07|cake03|cake01,cake08-16|cake02-16|cake07-16,27,2400|2400|7200,160|160|480,1111000011110000111100000000000000000000000011110000111100001111,none
214,214,cake07|cake03|cake05|cake04|cake01|cake06,cake06-50,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
215,215,cake06|cake08|cake05|cake02,cake05-50,28,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
216,216,cake07|cake03|cake06|cake04|cake01|cake02|cake05,cake04-50,28,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
217,217,cake08|cake03|cake02|cake06,cake02-25|cake08-24,28,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
218,218,cake03|cake02|cake04|cake06|cake08|cake01|cake05,cake03-24|cake01-25,28,2450|2450|7350,165|165|490,0111111000111100000110000001100000011000000110000011110001111110,none
219,219,cake02|cake05|cake04|cake08|cake03|cake06,cake03-24|cake06-25,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
220,220,cake05|cake04|cake06|cake08|cake02,cake06-24|cake05-25,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
221,221,cake08|cake02|cake04|cake06|cake01|cake05|cake03,cake03-25|cake04-24,28,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
222,222,cake05|cake01|cake07|cake03|cake08,cake01-25|cake05-25,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
223,223,cake02|cake07|cake04|cake01|cake06|cake08,cake01-25|cake04-25,28,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
224,224,cake05|cake06|cake07|cake04,cake04-17|cake06-16|cake05-16,28,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
225,225,cake07|cake03|cake02|cake08,cake08-16|cake03-16|cake02-17,28,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
226,226,cake07|cake01|cake02|cake08,cake01-16|cake02-16|cake07-17,28,2450|2450|7350,165|165|490,0111111000111100000110000001100000011000000110000011110001111110,none
227,227,cake03|cake08|cake06|cake01,cake03-17|cake08-16|cake01-16,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
228,228,cake08|cake02|cake01,cake02-50,4,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
229,229,cake06|cake01|cake02,cake06-50,4,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
230,230,cake08|cake02|cake05,cake05-41,6,2050|2050|6150,140|140|410,0111111011111111111111111111111111111111111111111111111101111110,none
231,231,cake01|cake05|cake06,cake01-25|cake05-24,6,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
232,232,cake06|cake04|cake08,cake06-24|cake08-25,6,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
233,233,cake07|cake08|cake06|cake01|cake02|cake03|cake04,cake07-26,15,1300|1300|3900,90|90|260,0011110001111110111111111110011111100111111111110111111000111100,none
234,234,cake07|cake06|cake04|cake03|cake02|cake01,cake04-16|cake06-16|cake02-16,27,2400|2400|7200,160|160|480,0111111000111100000110000001100000011000000110000011110001111110,none
235,235,cake02|cake04|cake07|cake05|cake08|cake06|cake03,cake03-16|cake02-16|cake08-16,27,2400|2400|7200,160|160|480,1100001111000011110000111111111111111111110000111100001111000011,none
236,236,cake07|cake01|cake03|cake06|cake05|cake04|cake08,cake08-16|cake05-16|cake04-16,27,2400|2400|7200,160|160|480,1111100011111100011111100011111100011111000011110000011100000011,none
237,237,cake01|cake08|cake02|cake07|cake03|cake04|cake06,cake07-50,28,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
238,238,cake05|cake02|cake04|cake06,cake06-50,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
239,239,cake08|cake05|cake03|cake06,cake05-50,28,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
240,240,cake02|cake04|cake01|cake07|cake06|cake08,cake08-50,28,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
241,241,cake03|cake08|cake05|cake07,cake05-50,28,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
242,242,cake05|cake01|cake07|cake03|cake08|cake06,cake07-50,28,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
243,243,cake07|cake06|cake01|cake08|cake05,cake05-50,28,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
244,244,cake01|cake05|cake04|cake03|cake07,cake03-50,28,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
245,245,cake07|cake03|cake08|cake02,cake07-23|cake08-26,28,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
246,246,cake07|cake04|cake02|cake03|cake05|cake08|cake06,cake04-24|cake07-25,28,2450|2450|7350,165|165|490,0111111011111111111111111111111111111111111111111111111101111110,none
247,247,cake02|cake07|cake06|cake01|cake04,cake06-25|cake02-24,28,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
248,248,cake04|cake05|cake03|cake07|cake08|cake06,cake07-25|cake08-24,28,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
249,249,cake07|cake05|cake06|cake03|cake08|cake02,cake05-25|cake06-24,28,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
250,250,cake08|cake02|cake05|cake04,cake02-24|cake08-25,28,2450|2450|7350,165|165|490,0111111000111100000110000001100000011000000110000011110001111110,none
251,251,cake05|cake04|cake07|cake08,cake08-25|cake04-25,28,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
252,252,cake06|cake03|cake07|cake01|cake05|cake02|cake04,cake06-15|cake04-17|cake05-17,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
253,253,cake01|cake06|cake02,cake06-29,4,1450|1450|4350,100|100|290,1111000011110000111100000000000000000000000011110000111100001111,none
254,254,cake02|cake03|cake01,cake03-48,4,2400|2400|7200,160|160|480,0111111011111111111111111111111111111111111111111111111101111110,none
255,255,cake04|cake07|cake01,cake04-49,4,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
256,256,cake05|cake06|cake01,cake05-50,4,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
257,257,cake07|cake08|cake01,cake08-50,4,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
258,258,cake06|cake07|cake01,cake06-50,4,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
259,259,cake07|cake08|cake01,cake07-50,4,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
260,260,cake06|cake08|cake01,cake06-50,4,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
261,261,cake03|cake01|cake02,cake01-50,4,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
262,262,cake04|cake02|cake01,cake01-50,6,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
263,263,cake02|cake04|cake03,cake02-25|cake03-24,6,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
264,264,cake04|cake02|cake06|cake03,cake06-16|cake03-16|cake04-16,27,2400|2400|7200,160|160|480,0011110000111100111111111111111111111111111111110011110000111100,none
265,265,cake07|cake05|cake08|cake03,cake08-16|cake03-16|cake07-16,27,2400|2400|7200,160|160|480,0011110001111110111111111110011111100111111111110111111000111100,none
266,266,cake07|cake01|cake03|cake06|cake04|cake08,cake07-16|cake01-16|cake04-16,27,2400|2400|7200,160|160|480,0111111000111100000110000001100000011000000110000011110001111110,none
267,267,cake07|cake04|cake03|cake06|cake05|cake01|cake02,cake03-16|cake01-16|cake06-16,27,2400|2400|7200,160|160|480,1100001111000011110000111111111111111111110000111100001111000011,none
268,268,cake05|cake06|cake03|cake01|cake04|cake07|cake02,cake03-16|cake01-16|cake02-16,27,2400|2400|7200,160|160|480,1111100011111100011111100011111100011111000011110000011100000011,none
269,269,cake04|cake03|cake02|cake01|cake07|cake05,cake04-50,28,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
270,270,cake06|cake05|cake07|cake01|cake03|cake08,cake06-50,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
271,271,cake03|cake06|cake05|cake01,cake05-50,28,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
272,272,cake04|cake07|cake01|cake03,cake04-50,28,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
273,273,cake01|cake03|cake06|cake05,cake06-50,28,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
274,274,cake06|cake04|cake01|cake07,cake07-50,28,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
275,275,cake06|cake07|cake08|cake04|cake02|cake05,cake06-25|cake08-24,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
276,276,cake01|cake06|cake07|cake04|cake05|cake08,cake01-24|cake04-25,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
277,277,cake07|cake05|cake04|cake06|cake02|cake08,cake07-17|cake06-16|cake05-16,28,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
278,278,cake03|cake01|cake02,cake03-50,4,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
279,279,cake02|cake04|cake01,cake04-50,4,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
280,280,cake07|cake01|cake02,cake01-50,4,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
281,281,cake06|cake03|cake01,cake03-50,4,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
282,282,cake01|cake06|cake02,cake01-50,4,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
283,283,cake08|cake05|cake03,cake05-48,6,2400|2400|7200,160|160|480,1100001111000011110000111111111111111111110000111100001111000011,none
284,284,cake04|cake03|cake05,cake04-50,6,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
285,285,cake03|cake04|cake02,cake04-25|cake02-24,6,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
286,286,cake05|cake04|cake06,cake05-25|cake06-25,6,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
287,287,cake04|cake02|cake06|cake01|cake03,cake03-16|cake04-16|cake01-16,27,2400|2400|7200,160|160|480,0001100000111100011111101111111111111111011111100011110000011000,none
288,288,cake05|cake01|cake02|cake08|cake03|cake07|cake04,cake02-16|cake08-16|cake07-16,27,2400|2400|7200,160|160|480,0011110000111100111111111111111111111111111111110011110000111100,none
289,289,cake07|cake01|cake05|cake06|cake04|cake08,cake08-50,28,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
290,290,cake04|cake07|cake01|cake02|cake08|cake03,cake01-50,28,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
291,291,cake08|cake07|cake01|cake06,cake07-50,28,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
292,292,cake06|cake03|cake07|cake02|cake05|cake04,cake03-24|cake04-25,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
293,293,cake07|cake08|cake01|cake06|cake04|cake05|cake02,cake06-24|cake04-25,28,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
294,294,cake05|cake02|cake06|cake03,cake05-25|cake02-24,28,2450|2450|7350,165|165|490,0111111011111111111111111111111111111111111111111111111101111110,none
295,295,cake02|cake01|cake08|cake04|cake03|cake05|cake07,cake04-24|cake08-25,28,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
296,296,cake06|cake02|cake07|cake04|cake08|cake05,cake04-24|cake05-25,28,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
297,297,cake08|cake01|cake04|cake06|cake07|cake05,cake01-25|cake04-24,28,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
298,298,cake06|cake05|cake08|cake01|cake07,cake06-25|cake05-25,28,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
299,299,cake02|cake03|cake07|cake08,cake03-16|cake08-16|cake02-17,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
300,300,cake08|cake07|cake06|cake05,cake05-16|cake07-16|cake08-17,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
301,301,cake01|cake04|cake08|cake02|cake06|cake03|cake05,cake08-16|cake05-17|cake04-16,28,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
302,302,cake03|cake08|cake07|cake06|cake05,cake05-16|cake08-16|cake06-17,28,2450|2450|7350,165|165|490,0111111011111111111111111111111111111111111111111111111101111110,none
303,303,cake04|cake01|cake02,cake04-49,4,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
304,304,cake08|cake02|cake01,cake08-50,4,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
305,305,cake07|cake02|cake01,cake02-50,4,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
306,306,cake06|cake08|cake02,cake06-41,6,2050|2050|6150,140|140|410,0111111000111100000110000001100000011000000110000011110001111110,none
307,307,cake02|cake04|cake01,cake04-50,6,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
308,308,cake08|cake06|cake03,cake06-50,6,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
309,309,cake06|cake05|cake02,cake02-50,6,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
310,310,cake06|cake08|cake02,cake06-25|cake02-24,6,2450|2450|7350,165|165|490,0111111011111111111111111111111111111111111111111111111101111110,none
311,311,cake07|cake05|cake03,cake03-25|cake07-25,6,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
312,312,cake04|cake02|cake01|cake05|cake06|cake08,cake08-15|cake04-16|cake05-17,27,2400|2400|7200,160|160|480,0011110000111100111111111111111111111111111111110011110000111100,none
313,313,cake01|cake07|cake02|cake08|cake03,cake08-16|cake02-16|cake07-16,27,2400|2400|7200,160|160|480,0011110001111110111111111110011111100111111111110111111000111100,none
314,314,cake03|cake01|cake05|cake04|cake06,cake04-16|cake05-16|cake01-16,27,2400|2400|7200,160|160|480,0111111000111100000110000001100000011000000110000011110001111110,none
315,315,cake06|cake05|cake02|cake04|cake03,cake05-49,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
316,316,cake03|cake08|cake06|cake02|cake04|cake01|cake07,cake02-50,28,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
317,317,cake08|cake03|cake05|cake06|cake07,cake08-50,28,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
318,318,cake05|cake03|cake04|cake02|cake01|cake08,cake04-50,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
319,319,cake06|cake01|cake07|cake04,cake01-50,28,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
320,320,cake07|cake05|cake06|cake04|cake08|cake02,cake04-50,28,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
321,321,cake02|cake01|cake04|cake06|cake03,cake04-50,28,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
322,322,cake07|cake01|cake03|cake08|cake04,cake01-50,28,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
323,323,cake02|cake05|cake07|cake08|cake06,cake07-25|cake02-24,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
324,324,cake06|cake05|cake04|cake03|cake08|cake02|cake07,cake05-24|cake08-25,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
325,325,cake02|cake03|cake07|cake08|cake01,cake03-25|cake07-25,28,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
326,326,cake03|cake08|cake02|cake04|cake06,cake06-16|cake02-17|cake03-16,28,2450|2450|7350,165|165|490,0111111011111111111111111111111111111111111111111111111101111110,none
327,327,cake02|cake08|cake01|cake06|cake04|cake03|cake05,cake03-16|cake04-16|cake05-17,28,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
328,328,cake08|cake03|cake01,cake08-50,4,2500|2500|7500,170|170|500,0011110000111100111111111111111111111111111111110011110000111100,none
329,329,cake06|cake03|cake01,cake06-50,4,2500|2500|7500,170|170|500,0011110001111110111111111110011111100111111111110111111000111100,none
330,330,cake01|cake05|cake02,cake05-50,4,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
331,331,cake01|cake05|cake02,cake01-50,4,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
332,332,cake08|cake07|cake05,cake07-25|cake05-24,6,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
333,333,cake05|cake01|cake08,cake05-25|cake01-25,6,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
334,334,cake02|cake01|cake08|cake06|cake04|cake07,cake02-16|cake04-16|cake01-16,27,2400|2400|7200,160|160|480,0111111011111111111111111111111111111111111111111111111101111110,none
335,335,cake05|cake06|cake02|cake07,cake02-16|cake06-16|cake07-16,27,2400|2400|7200,160|160|480,0001100000111100011111101111111111111111011111100011110000011000,none
336,336,cake03|cake05|cake06|cake04|cake08,cake03-16|cake08-16|cake05-16,27,2400|2400|7200,160|160|480,0011110000111100111111111111111111111111111111110011110000111100,none
337,337,cake08|cake04|cake07|cake01|cake06|cake02|cake05,cake01-16|cake02-16|cake08-16,27,2400|2400|7200,160|160|480,0011110001111110111111111110011111100111111111110111111000111100,none
338,338,cake03|cake05|cake07|cake08|cake01|cake06,cake03-50,28,2500|2500|7500,170|170|500,0111111000111100000110000001100000011000000110000011110001111110,none
339,339,cake04|cake08|cake03|cake07|cake01|cake02,cake01-50,28,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
340,340,cake02|cake05|cake01|cake03|cake07|cake08|cake04,cake07-50,28,2500|2500|7500,170|170|500,1111100011111100011111100011111100011111000011110000011100000011,none
341,341,cake01|cake05|cake02|cake04|cake08|cake03,cake02-50,28,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
342,342,cake03|cake06|cake05|cake08|cake04|cake07,cake03-50,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
343,343,cake07|cake02|cake05|cake01|cake08|cake04|cake03,cake05-50,28,2500|2500|7500,170|170|500,0001100000111100011111101111111111111111011111100011110000011000,none
344,344,cake03|cake04|cake02|cake05|cake08|cake01|cake07,cake05-24|cake04-25,28,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
345,345,cake07|cake01|cake03|cake05,cake05-25|cake01-24,28,2450|2450|7350,165|165|490,0011110001111110111111111110011111100111111111110111111000111100,none
346,346,cake05|cake01|cake06|cake02|cake07|cake04,cake02-24|cake06-25,28,2450|2450|7350,165|165|490,0111111000111100000110000001100000011000000110000011110001111110,none
347,347,cake01|cake08|cake07|cake05|cake03,cake08-24|cake01-25,28,2450|2450|7350,165|165|490,1100001111000011110000111111111111111111110000111100001111000011,none
348,348,cake02|cake08|cake03|cake04|cake01|cake06,cake02-25|cake03-24,28,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
349,349,cake02|cake06|cake05|cake07|cake03,cake05-25|cake07-25,28,2500|2500|7500,170|170|500,1111000011110000111100000000000000000000000011110000111100001111,none
350,350,cake06|cake05|cake07|cake03|cake02|cake01|cake08,cake06-25|cake02-25,28,2500|2500|7500,170|170|500,0111111011111111111111111111111111111111111111111111111101111110,none
351,351,cake07|cake02|cake01|cake05|cake06,cake05-17|cake02-15|cake07-17,28,2450|2450|7350,165|165|490,0001100000111100011111101111111111111111011111100011110000011000,none
352,352,cake02|cake05|cake03|cake07,cake02-17|cake07-16|cake05-16,28,2450|2450|7350,165|165|490,0011110000111100111111111111111111111111111111110011110000111100,none
353,353,cake04|cake02|cake01,cake02-29,4,1450|1450|4350,100|100|290,0011110001111110111111111110011111100111111111110111111000111100,none
354,354,cake01|cake06|cake02,cake01-42,4,2100|2100|6300,140|140|420,0111111000111100000110000001100000011000000110000011110001111110,none
355,355,cake07|cake02|cake01,cake02-50,4,2500|2500|7500,170|170|500,1100001111000011110000111111111111111111110000111100001111000011,none
356,356,cake08|cake04|cake01,cake01-49,6,2450|2450|7350,165|165|490,1111100011111100011111100011111100011111000011110000011100000011,none
357,357,cake03|cake06|cake01,cake01-24|cake03-25,6,2450|2450|7350,165|165|490,1111000011110000111100000000000000000000000011110000111100001111,none
358,358,cake06|cake05|cake03,cake03-24|cake05-25,6,2450|2450|7350,165|165|490,0111111011111111111111111111111111111111111111111111111101111110,none
359,359,cake02|cake08|cake04|cake03|cake01|cake06,cake03-16|cake06-16|cake08-16,27,2400|2400|7200,160|160|480,0001100000111100011111101111111111111111011111100011110000011000,none
360,360,cake07|cake01|cake02|cake03,cake07-16|cake02-16|cake03-16,27,2400|2400|7200,160|160|480,0011110000111100111111111111111111111111111111110011110000111100,none
361,361,cake03|cake06|cake04|cake02|cake05|cake01|cake08,cake02-16|cake04-16|cake01-16,27,2400|2400|7200,160|160|480,0011110001111110111111111110011111100111111111110111111000111100,none
362,362,cake07|cake02|cake01|cake04,cake02-16|cake07-16|cake01-16,27,2400|2400|7200,160|160|480,0111111000111100000110000001100000011000000110000011110001111110,none
